user_id,product_id,satisfaction_score,would_recommend,had_reaction,usage_days,age,skin_type,skin_condition,climate,sensitivity_level,oil_production,hydration_level,pore_size,wrinkle_score,name,type,brand,price,rating,ingredients,suitable_for_oily,suitable_for_dry,suitable_for_sensitive,suitable_for_combination,suitable_for_normal,has_fragrance,has_alcohol,is_hypoallergenic,spf_level
885,151,2.3,0,0,9,24,Normal,Aging,Dry,10,6,5,2,2,Serum 151,Serum,Brand C,95.32,3.8,"Squalane,Titanium Dioxide,Squalane",1,0,0,1,0,1,0,1,0
226,66,3.6,0,0,46,22,Sensitive,Hyperpigmentation,Humid,1,9,4,2,9,Serum 66,Serum,Brand B,91.69,3.7,"Titanium Dioxide,Vitamin E,Retinol",1,1,0,1,0,1,1,0,0
1917,256,7.2,1,1,13,29,Normal,Hyperpigmentation,Humid,6,10,10,1,8,Mask 256,Mask,Brand B,18.98,4.7,"Salicylic Acid,Centella Asiatica,Glycolic Acid,Vitamin C,Vitamin E,Glycolic Acid,Glycolic Acid",1,0,0,0,1,1,0,1,0
735,57,5.3,0,0,11,58,Sensitive,Acne,Humid,8,1,4,4,7,Cleanser 57,Cleanser,Brand D,110.03,4.1,"Glycolic Acid,Vitamin E,Aloe Vera,Retinol,Vitamin C",0,1,1,1,1,1,0,0,0
1486,338,8.1,1,0,63,48,Dry,None,Temperate,6,1,1,9,10,Moisturizer 338,Moisturizer,Brand A,75.46,4.7,"Titanium Dioxide,Titanium Dioxide,Retinol,Hyaluronic Acid,Glycerin",1,1,1,0,0,1,1,1,0
737,148,3.6,0,1,36,18,Sensitive,None,Dry,6,7,5,7,8,Mask 148,Mask,Brand B,13.69,5.0,"Zinc Oxide,Retinol,Salicylic Acid,Vitamin E,Lactic Acid,Vitamin E",1,0,0,0,1,0,0,1,0
1308,181,5.2,0,0,40,55,Oily,None,Temperate,9,8,10,9,1,Mask 181,Mask,Brand A,26.67,3.3,"Salicylic Acid,Chamomile,Niacinamide,Lactic Acid,Salicylic Acid,Squalane",1,1,1,1,0,1,0,1,0
1639,201,2.4,0,0,82,46,Oily,Aging,Cold,9,10,6,5,1,Mask 201,Mask,Brand E,70.5,4.4,"Lactic Acid,Vitamin E,Titanium Dioxide,Glycerin,Ceramides",0,0,1,0,1,1,1,0,0
822,29,6.4,0,0,67,64,Combination,Rosacea,Dry,5,4,1,4,5,Cleanser 29,Cleanser,Brand C,147.95,4.2,"Retinol,Glycerin,Ceramides,Vitamin C,Glycerin",1,0,1,1,1,1,1,1,0
224,463,6.5,0,0,14,55,Combination,None,Cold,10,9,9,9,4,Mask 463,Mask,Brand B,54.79,4.6,"Squalane,Chamomile,Chamomile,Salicylic Acid,Retinol,Glycolic Acid",0,1,0,1,1,0,0,1,0
1350,221,7.9,1,0,29,55,Combination,None,Temperate,7,2,9,10,7,Serum 221,Serum,Brand A,137.34,3.4,"Aloe Vera,Titanium Dioxide,Niacinamide,Titanium Dioxide,Retinol,Titanium Dioxide",1,1,1,1,1,0,0,1,0
961,481,4.0,0,0,67,21,Normal,None,Temperate,3,1,9,7,6,Sunscreen 481,Sunscreen,Brand E,35.27,4.9,"Titanium Dioxide,Niacinamide,Niacinamide,Ceramides,Zinc Oxide",1,1,0,0,0,1,1,0,0
538,15,7.5,1,0,30,27,Oily,None,Cold,1,7,7,6,4,Mask 15,Mask,Brand C,116.36,4.5,"Retinol,Ceramides,Zinc Oxide,Zinc Oxide",1,0,0,0,1,1,0,1,0
1511,16,2.3,0,1,83,61,Sensitive,None,Cold,9,3,4,1,5,Serum 16,Serum,Brand B,49.94,4.0,"Squalane,Chamomile,Glycolic Acid",1,1,0,1,0,1,0,0,0
1322,160,6.5,0,0,19,49,Normal,Hyperpigmentation,Cold,7,6,10,6,3,Moisturizer 160,Moisturizer,Brand A,121.28,3.5,"Chamomile,Lactic Acid,Ceramides,Hyaluronic Acid,Glycolic Acid,Titanium Dioxide,Niacinamide",0,0,0,0,1,1,1,1,0
715,79,1.4,0,0,47,42,Dry,Acne,Humid,8,1,2,3,6,Mask 79,Mask,Brand C,48.44,3.8,"Retinol,Hyaluronic Acid,Niacinamide",0,0,1,1,1,1,1,0,0
249,121,6.9,0,0,36,57,Dry,Acne,Dry,1,2,2,5,1,Serum 121,Serum,Brand B,24.43,4.8,"Squalane,Vitamin C,Titanium Dioxide,Hyaluronic Acid,Titanium Dioxide,Glycerin,Niacinamide",1,1,0,1,0,1,1,0,0
1007,121,6.5,0,0,66,26,Dry,Acne,Humid,1,2,2,1,3,Serum 121,Serum,Brand B,24.43,4.8,"Squalane,Vitamin C,Titanium Dioxide,Hyaluronic Acid,Titanium Dioxide,Glycerin,Niacinamide",1,1,0,1,0,1,1,0,0
973,24,2.7,0,0,25,22,Oily,Rosacea,Humid,9,8,6,4,4,Serum 24,Serum,Brand C,44.27,4.3,"Titanium Dioxide,Ceramides,Centella Asiatica",0,1,0,1,1,1,0,1,0
540,391,7.5,1,1,69,26,Oily,Hyperpigmentation,Temperate,1,7,8,9,9,Serum 391,Serum,Brand D,86.12,3.5,"Squalane,Centella Asiatica,Vitamin C,Squalane",1,0,0,1,0,1,0,1,0
421,272,3.6,0,0,12,64,Combination,Aging,Cold,5,9,10,4,10,Moisturizer 272,Moisturizer,Brand D,80.1,3.8,"Vitamin C,Centella Asiatica,Glycolic Acid,Titanium Dioxide,Lactic Acid,Retinol",1,0,0,0,1,0,1,1,0
420,441,6.8,0,0,47,47,Oily,Aging,Cold,4,7,7,9,4,Serum 441,Serum,Brand B,88.05,3.4,"Retinol,Centella Asiatica,Titanium Dioxide,Glycolic Acid,Zinc Oxide,Squalane,Squalane",1,1,0,0,0,1,1,0,0
